微信支付账单明细
----------------------微信支付账单明细--------------------
起始时间：[2026-07-01 00:00:00]  结束时间：[2026-09-06 23:59:59]
导出类型：[全部]
导出时间：[2026-09-06 20:00:00]
共 9 笔记录
收入：1笔  66.00元
支出：7笔  576.50元
中性交易：1笔  500.00元
备注：以下是微信支付账单明细列表
----------------------微信支付账单明细列表--------------------
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2026-09-06 12:30:15,商户消费,示例-老王家常菜,"晚市套餐,两荤一素",支出,￥128.00,零钱,支付成功,10001202609061230150001,880026090601,/
2026-09-06 13:05:40,商户消费,示例-便利蜂超市,饮料零食,支出,￥15.50,零钱,支付成功,10001202609061305400002,880026090602,/
2026-09-06 15:20:03,商户消费,示例-蜜雪冰城,珍珠奶茶x2,支出,￥13.00,招商银行储蓄卡(8888),支付成功,10001202609061520030003,880026090603,/
2026-09-05 19:10:22,商户消费,示例-海底捞火锅,"含""服务费""的火锅晚餐",支出,￥286.00,零钱,支付成功,10001202609051910220004,880026090504,/
2026-09-05 08:41:10,商户消费,示例-滴滴出行,快车-通勤,支出,￥23.40,零钱,支付成功,10001202609050841100005,880026090505,/
2026-09-04 21:02:56,微信红包,来自示例-张三,微信红包,收入,￥66.00,零钱,已存入零钱,10001202609042102560006,/,/
2026-09-03 12:15:30,商户消费,示例-美团外卖,午餐-黄焖鸡米饭,支出,￥22.60,零钱,支付成功,10001202609031215300007,880026090307,/
2026-09-01 10:00:00,微信红包,发给示例-李四,微信红包,支出,￥88.00,零钱,已领取,10001202609011000000008,/,/
2026-08-31 09:00:00,零钱充值,/,零钱充值,/,￥500.00,招商银行储蓄卡(8888),充值成功,10001202608310900000009,/,/
